id,companyName,employeeName,description,leave
1,TALES OF SHIVA,Mark,mark,0
2,1Q84 THE COMPLETE TRILOGY,HARUKI MURAKAMI,Mark,0
3,MY KUMAN,Mark,Mark,0
4,THE GOD OF SMAAL THINGS,ARUNDHATI ROY,4TH HARPER COLLINS,2
5,THE BLACK CIRCLE,Mark,4TH HARPER COLLINS,0
6,THE THREE LAWS OF PERFORMANCE,Mark,4TH HARPER COLLINS,0
7,CHAMarkKYA MANTRA,Mark,4TH HARPER COLLINS,0
8,59.FLAGS,Mark,4TH HARPER COLLINS,0
9,THE POWER OF POSITIVE THINKING FROM,Mark,A & A PUBLISHER,0
10,YOU CAN IF YO THINK YO CAN,PEALE,A & A PUBLISHER,0
11,DONGRI SE DUBAI TAK (MPH),Mark,A & A PUBLISHER,0
12,MarkLANDA ADYTAN KOSH,Mark,AADISH BOOK DEPOT,0
13,MarkLANDA VISHAL SHABD SAGAR,-,AADISH BOOK DEPOT,1
14,MarkLANDA CONCISE DICT(ENG TO HINDI),Mark,AADISH BOOK DEPOT,0
15,LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,Mark,AAM COMICS,2
16,LN. MarkIK SUNDER SINGH,N.A,AAN COMICS,0
17,I AM KRISHMark,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
18,DON'T TEACH ME TOLERANCE INDIA,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
19,MUJHE SAHISHNUTA MAT SIKHAO BHARAT,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
20,SECRETS OF DESTINY,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
21,BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,1
22,MEIN MANN HOON,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD,0
23,I AM THE MIND,DEEP TRIVEDI,AATMARAM & SONS,0
24,THE ART OF CHOOSING,SHEEMark IYENGAR,ABACUS,0
25,IN SPITE OF THE GODS,EDWARD LUCE,ABACUS,1
26,QUESTIONS & ANWERS ABOUT THE GREAT BIBLE,Mark,ABC PUBLISHERS DISTRIBUTORS,4
27,NIBANDH EVAM KAHANI LEKHAN { HINDI },Mark,ABHI BOOKS,1
